GP  Games played,GS  Games started,BLK  Total Blocks,BPG  Blocks Per Game,MPG  Minutes Per Game,PF  Total Personal Fouls,PFG  Personal Fouls Per Game,FLG  Flagrant Fouls,TF  Technical Fouls,EJ  Ejections,DSQ  Disqualifications,Player,Position,Team
17,17,2,0.12,,,,,,,,Dillon Brooks,SF,MEM
17,2,2,0.12,,,,,,,,Josh Richardson,SG,SA
19,18,2,0.11,,,,,,,,Reggie Bullock,SF,DAL
19,19,2,0.11,,,,,,,,Keldon Johnson,SF,SA
19,1,2,0.11,,,,,,,,Davion Mitchell,PG,SAC
21,21,2,0.1,,,,,,,,R.J. Barrett,SF,NY
20,3,2,0.1,,,,,,,,Tyus Jones,PG,MEM
20,0,2,0.1,,,,,,,,Bennedict Mathurin,SG,IND
21,0,2,0.1,,,,,,,,Jaylen Nowell,SG,MIN
23,6,2,0.09,,,,,,,,Collin Sexton,SG,UTA
15,0,1,0.07,,,,,,,,Isaiah Joe,SG,OKC
15,0,1,0.07,,,,,,,,Jordan McLaughlin,PG,MIN
14,0,1,0.07,,,,,,,,Zeke Nnaji,PF,DEN
15,1,1,0.07,,,,,,,,Davon Reed,SG,DEN
17,15,1,0.06,,,,,,,,Troy Brown Jr.,SF,LAL
17,1,1,0.06,,,,,,,,AJ Griffin,SF,ATL
16,1,1,0.06,,,,,,,,Caleb Houstan,SG,ORL
17,2,1,0.06,,,,,,,,Cory Joseph,SG,DET
16,16,1,0.06,,,,,,,,Zach LaVine,SG,CHI
18,4,1,0.06,,,,,,,,Tre Mann,PG,OKC
17,0,1,0.06,,,,,,,,Garrison Mathews,SF,HOU
17,2,1,0.06,,,,,,,,Kendrick Nunn,SG,LAL
19,4,1,0.05,,,,,,,,Amir Coffey,SG,LAC
20,1,1,0.05,,,,,,,,Josh Green,SG,DAL
20,0,1,0.05,,,,,,,,Damion Lee,SG,PHO
20,0,1,0.05,,,,,,,,Patty Mills,PG,BKN
22,22,0,0,,,,,,,,Bojan Bogdanovic,SF,DET
15,0,0,0,,,,,,,,Josh Christopher,SG,HOU
16,0,0,0,,,,,,,,Duncan Robinson,SG,MIA
19,19,,,37.4,56,2.9,0,5,0,1,Luka Doncic,PG,DAL
